Time,Node,Tenant_id,Shard,Query Rate (QPS),Data Growth Rate (GB/day),CPU Utilization (%),Disk Space Utilization (%),Query Response Time (ms),Shard Size (GB),ShardSplit Required
2023-06-10 21:30:47,2,2,1,78.33042196506467,-11.77503792447265,40.71364722051807,479.0,421.459903349239,968.0,No
2023-05-23 03:30:47,1,1,1,1346.0697948827055,0.6903503741942849,89.25272399302459,29.0,711.1206910382929,68.0,No
2023-05-28 01:30:47,5,5,3,383.6778040313036,1.834011981811079,25.95792629066317,147.0,185.63393760775392,304.0,No
2023-06-13 10:30:47,1,1,1,1007.9238635343369,10.148406756974715,67.75898607369932,540.0,700.5240625221808,1090.0,Yes
2023-06-23 06:30:47,3,3,2,486.86647410436956,-30.10891109665848,83.21586552392861,776.0,551.3566268485943,1562.0,Yes
2023-06-13 14:30:47,2,2,1,444.27955066007473,18.46215260698872,54.38703356947764,544.0,1059.36861788309,1098.0,Yes
2023-06-26 06:30:47,2,2,1,770.7838816043964,18.90400261982217,75.9556073873814,848.0,333.18108886106563,1706.0,Yes
2023-06-03 10:30:47,5,5,3,1702.3230578570995,13.611457677786216,99.11861403441407,300.0,71.64055805871894,610.0,Yes
2023-06-05 13:30:47,1,1,1,804.6562782273652,15.461479184478168,97.14774270191555,351.0,110.84022676952571,712.0,Yes
2023-06-04 09:30:47,3,3,2,729.3577059782885,3.6290827980178815,14.973897983966378,323.0,500.0518245552138,656.0,No
2023-06-12 12:30:47,4,4,2,1410.7312326971232,16.741034032870747,59.74434277489961,518.0,340.71787257806665,1046.0,Yes
2023-06-01 18:30:47,4,4,2,535.6769469778362,0.9992665550648576,83.18991446334245,260.0,219.20836103232799,530.0,Yes
2023-05-23 08:30:47,1,1,1,503.6017297481159,0.6903503741942849,83.02153475578386,34.0,1175.313799361324,78.0,Yes
2023-06-19 01:30:47,2,2,1,1596.4887626127918,13.357343401972484,23.87799321493119,675.0,700.9392511042862,1360.0,Yes
2023-05-31 08:30:47,5,5,3,322.873621904332,9.2938177419669,16.171084369234002,226.0,419.23250997505613,462.0,No
2023-06-30 07:30:47,4,4,2,88.62024775036681,24.444374048786248,21.346053542068667,945.0,158.40689480698455,1900.0,Yes
