Time,Node,Tenant_id,Shard,Query Rate (QPS),Data Growth Rate (GB/day),CPU Utilization (%),Disk Space Utilization (%),Query Response Time (ms),Shard Size (GB),ShardSplit Required
2023-06-12 08:29:23,2,2,1,1237.5236574441324,-6.090001790641843,79.37217752275005,514.0,338.40246427853793,1038.0,Yes
2023-05-27 02:29:23,1,1,1,584.3272866164757,-3.137289180654389,70.62001513465289,124.0,1239.8385296444135,258.0,No
2023-07-02 03:29:23,5,5,3,345.91731161177574,-4.375248437113344,50.66938787846716,989.0,822.2939816091006,1988.0,Yes
2023-06-22 23:29:23,2,2,1,1232.86339126648,30.3231669965053,38.727595975729166,769.0,490.56076652760987,1548.0,Yes
2023-07-02 02:29:23,4,4,2,1429.981760891447,23.72235002409985,70.12369783584079,988.0,221.49927155951647,1986.0,Yes
2023-06-18 14:29:23,1,1,1,1012.3923279623273,-18.058332831620977,9.554691993610298,664.0,824.4440108289552,1338.0,Yes
2023-05-30 21:29:23,3,3,2,1923.3991203499038,-0.38857584896018516,23.47964920556207,215.0,344.4768801287467,440.0,Yes
2023-05-23 01:29:23,3,3,2,568.3589805289226,-0.902233142874098,86.04496724537528,27.0,1156.6734185732537,64.0,Yes
2023-06-13 02:29:23,2,2,1,515.0571261805533,18.180965324522816,36.857312627103454,532.0,1454.9190901533557,1074.0,Yes
2023-06-19 05:29:23,1,1,1,1129.3087012771448,23.344621881047157,89.87559042499281,679.0,331.68193371813925,1368.0,Yes
2023-06-03 16:29:23,2,2,1,288.6752735265516,9.46365748233109,83.3204007956449,306.0,465.755031411205,622.0,Yes
2023-06-01 12:29:23,5,5,3,779.2628034592983,4.70373437786982,4.5642640722231125,254.0,536.3012461619397,518.0,No
2023-06-25 22:29:23,1,1,1,668.7714277123682,-32.71434904154475,3.756619134266481,840.0,846.5259680043765,1690.0,Yes
2023-06-01 06:29:23,4,4,2,890.6548057086776,-2.1852839868728924,86.40092602184536,248.0,992.7766895694249,506.0,Yes
